"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks"
"2001042",42.162565,-72.824698,"B0180","9/5/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",104,16,68.75,14.4230769230769,61.5384615384615,6.25,18.75,0,0.961538461538462,4.80769230769231,8
"2001043",42.264878,-72.867911,"B0172","9/6/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",105,30,46.6666666666667,22.8571428571429,41.9047619047619,26.6666666666667,33.3333333333333,3.80952380952381,3.80952380952381,21.9047619047619,22
"2001045",42.115876,-72.728657,"B0482","9/6/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",95,28,39.2857142857143,15.7894736842105,46.3157894736842,7.14285714285714,14.2857142857143,2.10526315789474,3.15789473684211,14.7368421052632,12
"2002001",42.140224,-71.455182,"B0485","7/15/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",100,27,25.9259259259259,3,35,18.5185185185185,18.5185185185185,0,0,15,7
"2002002",42.151512,-71.426764,"B0486","7/15/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",104,20,25,0,35.5769230769231,20,10,0,0.961538461538462,2.88461538461538,4
"2002003",42.140192,-71.388173,"B0055","7/15/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",101,17,41.1764705882353,0,54.4554455445545,5.88235294117647,17.6470588235294,0,0,10.8910891089109,8
"2002004",42.138185,-71.357179,"B0056","7/15/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",101,16,31.25,2.97029702970297,69.3069306930693,0,0,0,0,0,3
"2002005",42.091266,-71.4333,"B0060","7/15/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",90,21,28.5714285714286,5.55555555555556,30,9.52380952380952,19.047619047619,0,5.55555555555556,12.2222222222222,6
"2002006",42.091131,-71.297074,"B0065","7/16/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",95,33,39.3939393939394,6.31578947368421,27.3684210526316,24.2424242424242,27.2727272727273,8.42105263157895,8.42105263157895,29.4736842105263,19
"2002010",42.294593,-71.289615,"B0068","7/17/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",106,19,5.26315789473684,0,56.6037735849057,21.0526315789474,0,0,2.83018867924528,0,0
"2002013",42.252308,-71.240158,"B0070","7/17/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",91,14,21.4285714285714,0,30.7692307692308,14.2857142857143,7.14285714285714,0,12.0879120879121,1.0989010989011,4
"2002014",42.110674,-71.363473,"B0061","7/18/2002","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",107,14,42.8571428571429,3.73831775700935,65.4205607476636,0,7.14285714285714,0,0,0.934579439252336,4
